[0],[0] 3696003392 [0],[1] 97 [0],[2] 3.69603e+09
[1],[0] 3696003392 [1],[1] 28089 [1],[2] 0
[2],[0] 3696003392 [2],[1] 101.677 [2],[2] -75.2942
[3],[0] 301036096 [3],[1] 102.633 [3],[2] -75.2392
[4],[0] 1201036096 [4],[1] 103.532 [4],[2] -75.1852
[5],[0] 2101036096 [5],[1] 104.37 [5],[2] -75.1331
[6],[0] 3001036096 [6],[1] 105.145 [6],[2] -75.0838
[7],[0] 3901036096 [7],[1] 105.856 [7],[2] -75.038
[8],[0] 506068800 [8],[1] 106.499 [8],[2] -74.9965
[9],[0] 1406068800 [9],[1] 107.073 [9],[2] -74.9599
[10],[0] 2306068800 [10],[1] 107.577 [10],[2] -74.9288
[11],[0] 3206068800 [11],[1] 108.01 [11],[2] -74.9037
[12],[0] 4106068800 [12],[1] 108.37 [12],[2] -74.8849
[13],[0] 711101504 [13],[1] 108.656 [13],[2] -74.8727
[14],[0] 1611101504 [14],[1] 108.867 [14],[2] -74.8672
[15],[0] 2511101504 [15],[1] 109.003 [15],[2] -74.8686
[16],[0] 3411101504 [16],[1] 109.062 [16],[2] -74.8766
[17],[0] 16134208 [17],[1] 109.045 [17],[2] -74.8913
[18],[0] 916134208 [18],[1] 108.95 [18],[2] -74.9123
[19],[0] 1816134208 [19],[1] 108.778 [19],[2] -74.9391
[20],[0] 2716134208 [20],[1] 108.529 [20],[2] -74.9715
[21],[0] 3616134208 [21],[1] 108.203 [21],[2] -75.0087
[22],[0] 221166912 [22],[1] 107.799 [22],[2] -75.0502
[23],[0] 1121166912 [23],[1] 107.319 [23],[2] -75.0952
[24],[0] 2021166912 [24],[1] 106.764 [24],[2] -75.1429
[25],[0] 2921166912 [25],[1] 106.135 [25],[2] -75.1926
[26],[0] 3821166912 [26],[1] 105.434 [26],[2] -75.2433
[27],[0] 426199616 [27],[1] 104.663 [27],[2] -75.2941
[28],[0] 1326199616 [28],[1] 103.824 [28],[2] -75.3441
[29],[0] 2226199616 [29],[1] 102.92 [29],[2] -75.3924
[30],[0] 3126199616 [30],[1] 101.956 [30],[2] -75.4382
[31],[0] 4026199616 [31],[1] 100.934 [31],[2] -75.4805
[32],[0] 631232320 [32],[1] 99.8592 [32],[2] -75.5187
[33],[0] 1531232320 [33],[1] 98.737 [33],[2] -75.5519
[34],[0] 2431232320 [34],[1] 97.5724 [34],[2] -75.5795
[35],[0] 3331232320 [35],[1] 96.3712 [35],[2] -75.6011
[36],[0] 4231232320 [36],[1] 95.1395 [36],[2] -75.6162
[37],[0] 836265024 [37],[1] 93.8837 [37],[2] -75.6244
[38],[0] 1736265024 [38],[1] 92.6103 [38],[2] -75.6257
[39],[0] 2636265024 [39],[1] 91.3261 [39],[2] -75.62
[40],[0] 3536265024 [40],[1] 90.0377 [40],[2] -75.6073
[41],[0] 141297728 [41],[1] 88.7519 [41],[2] -75.588
[42],[0] 1041297728 [42],[1] 87.4751 [42],[2] -75.5623
[43],[0] 1941297728 [43],[1] 86.2138 [43],[2] -75.5308
[44],[0] 2841297728 [44],[1] 84.974 [44],[2] -75.4939
[45],[0] 3741297728 [45],[1] 83.7616 [45],[2] -75.4524
[46],[0] 346330432 [46],[1] 82.5818 [46],[2] -75.4071
[47],[0] 1246330432 [47],[1] 81.4397 [47],[2] -75.3587
[48],[0] 2146330432 [48],[1] 80.3401 [48],[2] -75.3081
[49],[0] 3046330432 [49],[1] 79.287 [49],[2] -75.2562
[50],[0] 3946330432 [50],[1] 78.2844 [50],[2] -75.2039
[51],[0] 551363136 [51],[1] 77.3357 [51],[2] -75.1522
[52],[0] 1451363136 [52],[1] 76.4441 [52],[2] -75.1019
[53],[0] 2351363136 [53],[1] 75.6122 [53],[2] -75.0539
[54],[0] 3251363136 [54],[1] 74.8426 [54],[2] -75.009
[55],[0] 4151363136 [55],[1] 74.1375 [55],[2] -74.9681
[56],[0] 756395840 [56],[1] 73.4989 [56],[2] -74.9317
[57],[0] 1656395840 [57],[1] 72.9285 [57],[2] -74.9006
[58],[0] 2556395840 [58],[1] 72.4279 [58],[2] -74.8752
[59],[0] 3456395840 [59],[1] 71.9984 [59],[2] -74.856
[60],[0] 61428544 [60],[1] 71.6414 [60],[2] -74.8433
[61],[0] 961428544 [61],[1] 71.3581 [61],[2] -74.8374
[62],[0] 1861428544 [62],[1] 71.1493 [62],[2] -74.8383
[63],[0] 2761428544 [63],[1] 71.016 [63],[2] -74.8462
[64],[0] 3661428544 [64],[1] 70.959 [64],[2] -74.8609
[65],[0] 266461248 [65],[1] 70.9789 [65],[2] -74.8823
[66],[0] 1166461248 [66],[1] 71.0762 [66],[2] -74.91
[67],[0] 2066461248 [67],[1] 71.2512 [67],[2] -74.9435
[68],[0] 2966461248 [68],[1] 71.504 [68],[2] -74.9825
[69],[0] 3866461248 [69],[1] 71.8347 [69],[2] -75.0263
[70],[0] 471493952 [70],[1] 72.2428 [70],[2] -75.0743
[71],[0] 1371493952 [71],[1] 72.7278 [71],[2] -75.1256
[72],[0] 2271493952 [72],[1] 73.2887 [72],[2] -75.1795
[73],[0] 3171493952 [73],[1] 73.9243 [73],[2] -75.2351
[74],[0] 4071493952 [74],[1] 74.6329 [74],[2] -75.2914
[75],[0] 676526656 [75],[1] 75.4124 [75],[2] -75.3477
[76],[0] 1576526656 [76],[1] 76.2602 [76],[2] -75.4028
[77],[0] 2476526656 [77],[1] 77.1733 [77],[2] -75.4559
[78],[0] 3376526656 [78],[1] 78.1481 [78],[2] -75.5061
[79],[0] 4276526656 [79],[1] 79.1805 [79],[2] -75.5525
[80],[0] 881559360 [80],[1] 80.266 [80],[2] -75.5942
[81],[0] 1781559360 [81],[1] 81.3995 [81],[2] -75.6306
[82],[0] 2681559360 [82],[1] 82.5755 [82],[2] -75.6611
[83],[0] 3581559360 [83],[1] 83.7881 [83],[2] -75.685
[84],[0] 186592064 [84],[1] 85.0309 [84],[2] -75.702
[85],[0] 1086592064 [85],[1] 86.2975 [85],[2] -75.7117
[86],[0] 1986592064 [86],[1] 87.5811 [86],[2] -75.714
[87],[0] 2886592064 [87],[1] 88.8748 [87],[2] -75.7088
[88],[0] 3786592064 [88],[1] 90.1717 [88],[2] -75.6963
[89],[0] 391624768 [89],[1] 91.465 [89],[2] -75.6768
[90],[0] 1291624768 [90],[1] 92.748 [90],[2] -75.6505
[91],[0] 2191624768 [91],[1] 94.0142 [91],[2] -75.6179
[92],[0] 3091624768 [92],[1] 95.2575 [92],[2] -75.5797
[93],[0] 3991624768 [93],[1] 96.4719 [93],[2] -75.5366
[94],[0] 596657472 [94],[1] 97.6521 [94],[2] -75.4893
[95],[0] 1496657472 [95],[1] 98.793 [95],[2] -75.4386
[96],[0] 2396657472 [96],[1] 99.8899 [96],[2] -75.3856
[97],[0] 3296657472 [97],[1] 100.939 [97],[2] -75.331
[98],[0] 4196657472 [98],[1] 101.935 [98],[2] -75.2758
